Run_ID,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ApplyTransformer,param_depth,param_initial_filter,param_junction,param_length,param_type_of_block,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
26,9.564464926719666,1.7185927629470825,1.204193353652954,0.007867813110351562,False,3,4,2,2,vgg,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 2, 'length': 2, 'type_of_block': 'vgg'}",0.37109375,0.25390625,0.3125,0.05859375,259
466,12.956502676010132,0.1396961212158203,1.9861657619476318,0.03258204460144043,True,3,16,2,4,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 2, 'length': 4, 'type_of_block': 'vgg'}",0.37109375,0.25390625,0.3125,0.05859375,259
258,18.62631869316101,1.7664616107940674,2.6309345960617065,0.046765923500061035,False,3,24,2,6,vgg,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 6, 'type_of_block': 'vgg'}",0.37109375,0.25390625,0.3125,0.05859375,259
244,36.50682330131531,0.20491480827331543,4.774796485900879,0.3023831844329834,False,3,24,2,3,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 3, 'type_of_block': 'inception'}",0.37109375,0.25390625,0.3125,0.05859375,259
444,57.25398552417755,1.873630166053772,6.5285022258758545,0.5036108493804932,True,3,16,1,5,inception,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 1, 'length': 5, 'type_of_block': 'inception'}",0.37109375,0.25390625,0.3125,0.05859375,259
255,42.87920701503754,1.959908127784729,7.053552985191345,0.2489832639694214,False,3,24,2,5,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 5, 'type_of_block': 'soft_att'}",0.37109375,0.25390625,0.3125,0.05859375,259
257,272.2735357284546,9.438597917556763,12.521791934967041,0.26798200607299805,False,3,24,2,6,resnet,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 6, 'type_of_block': 'resnet'}",0.375,0.24609375,0.310546875,0.064453125,275
128,59.71080541610718,5.863683223724365,5.79122257232666,0.27108001708984375,False,3,8,3,4,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 8, 'junction': 3, 'length': 4, 'type_of_block': 'inception'}",0.37109375,0.25,0.310546875,0.060546875,275
215,62.77735376358032,1.6319327354431152,9.723050951957703,0.3229602575302124,False,3,16,3,7,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 16, 'junction': 3, 'length': 7, 'type_of_block': 'soft_att'}",0.26953125,0.3515625,0.310546875,0.041015625,275
119,54.65636730194092,0.8260939121246338,8.946967959403992,0.23758208751678467,False,3,8,2,7,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 8, 'junction': 2, 'length': 7, 'type_of_block': 'soft_att'}",0.36328125,0.2578125,0.310546875,0.052734375,275
160,68.16372406482697,2.8848615884780884,7.5189255475997925,0.01993739604949951,False,3,16,1,6,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 16, 'junction': 1, 'length': 6, 'type_of_block': 'inception'}",0.2578125,0.36328125,0.310546875,0.052734375,275
240,26.558841466903687,3.0080535411834717,3.548524498939514,0.07251346111297607,False,3,24,2,2,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 2, 'type_of_block': 'inception'}",0.37109375,0.24609375,0.30859375,0.0625,280
315,21.651660561561584,0.777795672416687,3.797795295715332,0.14966130256652832,True,3,4,2,2,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 4, 'junction': 2, 'length': 2, 'type_of_block': 'soft_att'}",0.25390625,0.36328125,0.30859375,0.0546875,280
529,76.06910383701324,2.380839228630066,5.572221636772156,0.044777750968933105,True,3,24,2,2,resnet,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 2, 'type_of_block': 'resnet'}",0.35546875,0.26171875,0.30859375,0.046875,280
451,44.370171666145325,0.23236334323883057,7.741113066673279,0.1463838815689087,True,3,16,1,6,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 1, 'length': 6, 'type_of_block': 'soft_att'}",0.37109375,0.24609375,0.30859375,0.0625,280
95,50.85840904712677,0.43911421298980713,8.712436437606812,0.11604046821594238,False,3,8,1,7,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 8, 'junction': 1, 'length': 7, 'type_of_block': 'soft_att'}",0.26171875,0.35546875,0.30859375,0.046875,280
2,14.378687024116516,1.160399317741394,1.0702558755874634,0.018546700477600098,False,3,4,1,2,vgg,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 1, 'length': 2, 'type_of_block': 'vgg'}",0.36328125,0.25390625,0.30859375,0.0546875,280
252,59.19648063182831,0.840530514717102,6.789651870727539,0.028194427490234375,False,3,24,2,5,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 5, 'type_of_block': 'inception'}",0.359375,0.25390625,0.306640625,0.052734375,286
403,51.87394201755524,1.1617580652236938,8.639860391616821,0.1492631435394287,True,3,8,2,6,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 8, 'junction': 2, 'length': 6, 'type_of_block': 'soft_att'}",0.37109375,0.2421875,0.306640625,0.064453125,286
446,16.02357244491577,2.553457021713257,2.0063942670822144,0.04049694538116455,True,3,16,1,5,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 1, 'length': 5, 'type_of_block': 'vgg'}",0.25,0.36328125,0.306640625,0.056640625,286
370,14.846213221549988,2.4431782960891724,1.9204667806625366,0.025438904762268066,True,3,8,1,4,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 8, 'junction': 1, 'length': 4, 'type_of_block': 'vgg'}",0.37109375,0.2421875,0.306640625,0.064453125,286
467,39.19655454158783,0.37092483043670654,6.613657355308533,0.0050154924392700195,True,3,16,2,4,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 2, 'length': 4, 'type_of_block': 'soft_att'}",0.23828125,0.375,0.306640625,0.068359375,286
498,21.046144485473633,2.3982937335968018,2.6118003129959106,0.10916769504547119,True,3,16,3,6,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 3, 'length': 6, 'type_of_block': 'vgg'}",0.35546875,0.25390625,0.3046875,0.05078125,291
15,34.89471387863159,2.6132707595825195,5.849207282066345,0.1965848207473755,False,3,4,1,5,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 1, 'length': 5, 'type_of_block': 'soft_att'}",0.234375,0.375,0.3046875,0.0703125,291
527,52.01431488990784,1.3831045627593994,8.470580577850342,0.17756032943725586,True,3,24,1,7,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 1, 'length': 7, 'type_of_block': 'soft_att'}",0.2421875,0.36328125,0.302734375,0.060546875,293
570,19.610469102859497,0.7186729907989502,2.6108641624450684,0.15146994590759277,True,3,24,3,6,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 3, 'length': 6, 'type_of_block': 'vgg'}",0.37109375,0.234375,0.302734375,0.068359375,293
413,135.01606059074402,5.568436861038208,7.82160496711731,0.3020925521850586,True,3,8,3,3,resnet,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 8, 'junction': 3, 'length': 3, 'type_of_block': 'resnet'}",0.29296875,0.3125,0.302734375,0.009765625,293
235,45.33575224876404,5.653873920440674,7.9729872941970825,0.398995041847229,False,3,24,1,6,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 1, 'length': 6, 'type_of_block': 'soft_att'}",0.3671875,0.23828125,0.302734375,0.064453125,293
398,18.29260277748108,0.47049784660339355,2.0882071256637573,0.08476841449737549,True,3,8,2,5,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 8, 'junction': 2, 'length': 5, 'type_of_block': 'vgg'}",0.23828125,0.36328125,0.30078125,0.0625,297
27,20.13476061820984,0.43959951400756836,3.423569917678833,0.18614840507507324,False,3,4,2,2,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 2, 'length': 2, 'type_of_block': 'soft_att'}",0.25,0.3515625,0.30078125,0.05078125,297
358,24.52986776828766,0.07514345645904541,2.63958740234375,0.029236316680908203,True,3,4,3,7,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 4, 'junction': 3, 'length': 7, 'type_of_block': 'vgg'}",0.2421875,0.359375,0.30078125,0.05859375,297
303,40.439059138298035,1.3223062753677368,6.420883893966675,0.44716382026672363,True,3,4,1,5,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 4, 'junction': 1, 'length': 5, 'type_of_block': 'soft_att'}",0.23828125,0.36328125,0.30078125,0.0625,297
12,59.343247294425964,2.463835120201111,6.594010949134827,0.5036188364028931,False,3,4,1,5,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 1, 'length': 5, 'type_of_block': 'inception'}",0.21484375,0.38671875,0.30078125,0.0859375,297
